,name,location,price,price_for,room_type,beds,rating,rating_title,number_of_ratings,url
10,DoubleTree by Hilton Hotel London - Tower of London,"City of London, London Show on map",£89,"1 night, 2 adults",Queen Room - Mobility Access,1 double bed,8.5,Very good,"8,558 reviews","https://www.booking.com/hotel/gb/doubletree-by-hilton-hotel-london.en-gb.html?label=gen173bo-1DCAQoggI49wNICVgDaFCIAQGYAQm4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AommqoQGwAIB0gIkMzE1YjIwMzAtYjgzNS00MTFlLWEwZjAtMmVkMjk0ZmU1MTdk2AIE4AIB&sid=7399145a721c6bd561ad7258dd35df32&all_sr_blocks=27897710_246114788_2_2_0&checkin=2021-04-30&checkout=2021-05-01&dest_id=-2601889&dest_type=city&group_adults=2&group_children=0&hapos=11&highlighted_blocks=27897710_246114788_2_2_0&hpos=11&no_rooms=1&sr_order=popularity&sr_pri_blocks=27897710_246114788_2_2_0__8900&srepoch=1619694346&srpvid=b9244e04cd9501a6&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
11,DoubleTree by Hilton London Angel Kings Cross,"Islington, London Show on map",£75,"1 night, 2 adults",Queen Room,1 double bed,8.3,Very good,"2,150 reviews","https://www.booking.com/hotel/gb/jurys-inn-islington.en-gb.html?label=gen173bo-1DCAQoggI49wNICVgDaFCIAQGYAQm4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AommqoQGwAIB0gIkMzE1YjIwMzAtYjgzNS00MTFlLWEwZjAtMmVkMjk0ZmU1MTdk2AIE4AIB&sid=7399145a721c6bd561ad7258dd35df32&all_sr_blocks=3648922_246087605_2_42_0&checkin=2021-04-30&checkout=2021-05-01&dest_id=-2601889&dest_type=city&group_adults=2&group_children=0&hapos=12&highlighted_blocks=3648922_246087605_2_42_0&hpos=12&no_rooms=1&sr_order=popularity&sr_pri_blocks=3648922_246087605_2_42_0__7469&srepoch=1619694346&srpvid=b9244e04cd9501a6&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
12,Park Plaza Victoria London,"Westminster Borough, London Show on map",£124,"1 night, 2 adults",Superior Double Room,1 large double bed,8.7,Fabulous,"4,210 reviews","https://www.booking.com/hotel/gb/victoriaparkplazahotel.en-gb.html?label=gen173bo-1DCAQoggI49wNICVgDaFCIAQGYAQm4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AommqoQGwAIB0gIkMzE1YjIwMzAtYjgzNS00MTFlLWEwZjAtMmVkMjk0ZmU1MTdk2AIE4AIB&sid=7399145a721c6bd561ad7258dd35df32&all_sr_blocks=10840_209152752_0_0_0&checkin=2021-04-30&checkout=2021-05-01&dest_id=-2601889&dest_type=city&group_adults=2&group_children=0&hapos=13&highlighted_blocks=10840_209152752_0_0_0&hpos=13&no_rooms=1&sr_order=popularity&sr_pri_blocks=10840_209152752_0_0_0__12400&srepoch=1619694346&srpvid=b9244e04cd9501a6&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
13,Hilton London Metropole,"Westminster Borough, London Show on map",£89,"1 night, 2 adults",King Hilton Guest Room,1 extra-large double bed,7.1,Good,"5,885 reviews","https://www.booking.com/hotel/gb/hilton-london-metropole.en-gb.html?label=gen173bo-1DCAQoggI49wNICVgDaFCIAQGYAQm4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AommqoQGwAIB0gIkMzE1YjIwMzAtYjgzNS00MTFlLWEwZjAtMmVkMjk0ZmU1MTdk2AIE4AIB&sid=7399145a721c6bd561ad7258dd35df32&all_sr_blocks=3386413_246030103_2_2_0&checkin=2021-04-30&checkout=2021-05-01&dest_id=-2601889&dest_type=city&group_adults=2&group_children=0&hapos=14&highlighted_blocks=3386413_246030103_2_2_0&hpos=14&no_rooms=1&sr_order=popularity&sr_pri_blocks=3386413_246030103_2_2_0__8910&srepoch=1619694346&srpvid=b9244e04cd9501a6&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
14,Bermonds Locke,"Southwark, London Show on map",£104,"1 night, 2 adults",City Studio,1 extra-large double bed,9.2,Superb,572 reviews,"https://www.booking.com/hotel/gb/bermonds-locke.en-gb.html?label=gen173bo-1DCAQoggI49wNICVgDaFCIAQGYAQm4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AommqoQGwAIB0gIkMzE1YjIwMzAtYjgzNS00MTFlLWEwZjAtMmVkMjk0ZmU1MTdk2AIE4AIB&sid=7399145a721c6bd561ad7258dd35df32&all_sr_blocks=630580001_245874207_0_0_0&checkin=2021-04-30&checkout=2021-05-01&dest_id=-2601889&dest_type=city&group_adults=2&group_children=0&hapos=15&highlighted_blocks=630580001_245874207_0_0_0&hpos=15&no_rooms=1&sr_order=popularity&sr_pri_blocks=630580001_245874207_0_0_0__10399&srepoch=1619694346&srpvid=b9244e04cd9501a6&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
15,"Park Plaza London, Park Royal","Ealing, London Show on map",£69,"1 night, 2 adults",Superior King Room,1 extra-large double bed,8.5,Very good,"5,872 reviews","https://www.booking.com/hotel/gb/park-plaza-london-park-royal.en-gb.html?label=gen173bo-1DCAQoggI49wNICVgDaFCIAQGYAQm4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AommqoQGwAIB0gIkMzE1YjIwMzAtYjgzNS00MTFlLWEwZjAtMmVkMjk0ZmU1MTdk2AIE4AIB&sid=7399145a721c6bd561ad7258dd35df32&all_sr_blocks=173736001_135240375_0_0_0&checkin=2021-04-30&checkout=2021-05-01&dest_id=-2601889&dest_type=city&group_adults=2&group_children=0&hapos=16&highlighted_blocks=173736001_135240375_0_0_0&hpos=16&no_rooms=1&sr_order=popularity&sr_pri_blocks=173736001_135240375_0_0_0__6880&srepoch=1619694346&srpvid=b9244e04cd9501a6&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
16,Chelsea Cloisters,"Kensington and Chelsea, London Show on map",£65,"1 night, 2 adults",Studio,1 double bed,7.3,Good,"4,713 reviews","https://www.booking.com/hotel/gb/new-chelsea-cloisters.en-gb.html?label=gen173bo-1DCAQoggI49wNICVgDaFCIAQGYAQm4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AommqoQGwAIB0gIkMzE1YjIwMzAtYjgzNS00MTFlLWEwZjAtMmVkMjk0ZmU1MTdk2AIE4AIB&sid=7399145a721c6bd561ad7258dd35df32&all_sr_blocks=3550501_264079023_0_0_0&checkin=2021-04-30&checkout=2021-05-01&dest_id=-2601889&dest_type=city&group_adults=2&group_children=0&hapos=17&highlighted_blocks=3550501_264079023_0_0_0&hpos=17&no_rooms=1&sr_order=popularity&sr_pri_blocks=3550501_264079023_0_0_0__6500&srepoch=1619694346&srpvid=b9244e04cd9501a6&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
17,Hampton by Hilton London Waterloo,"Lambeth, London Show on map",£80,"1 night, 2 adults",Queen Room - Mobility Access,1 large double bed,8.6,Fabulous,"3,502 reviews","https://www.booking.com/hotel/gb/hampton-by-hilton-london-waterloo.en-gb.html?label=gen173bo-1DCAQoggI49wNICVgDaFCIAQGYAQm4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AommqoQGwAIB0gIkMzE1YjIwMzAtYjgzNS00MTFlLWEwZjAtMmVkMjk0ZmU1MTdk2AIE4AIB&sid=7399145a721c6bd561ad7258dd35df32&all_sr_blocks=84526109_205149874_2_1_0&checkin=2021-04-30&checkout=2021-05-01&dest_id=-2601889&dest_type=city&group_adults=2&group_children=0&hapos=18&highlighted_blocks=84526109_205149874_2_1_0&hpos=18&no_rooms=1&sr_order=popularity&sr_pri_blocks=84526109_205149874_2_1_0__8010&srepoch=1619694346&srpvid=b9244e04cd9501a6&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
18,Blakemore Hyde Park,"Westminster Borough, London Show on map",£76,"1 night, 2 adults",Club Double Room,1 large double bed,8.2,Very good,"6,155 reviews","https://www.booking.com/hotel/gb/blakemore.en-gb.html?label=gen173bo-1DCAQoggI49wNICVgDaFCIAQGYAQm4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AommqoQGwAIB0gIkMzE1YjIwMzAtYjgzNS00MTFlLWEwZjAtMmVkMjk0ZmU1MTdk2AIE4AIB&sid=7399145a721c6bd561ad7258dd35df32&all_sr_blocks=10437503_295977073_0_2_0&checkin=2021-04-30&checkout=2021-05-01&dest_id=-2601889&dest_type=city&group_adults=2&group_children=0&hapos=19&highlighted_blocks=10437503_295977073_0_2_0&hpos=19&no_rooms=1&sr_order=popularity&sr_pri_blocks=10437503_295977073_0_2_0__7646&srepoch=1619694346&srpvid=b9244e04cd9501a6&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
19,"Crowne Plaza London Kings Cross, an IHG Hotel","Islington, London Show on map",£89,"1 night, 2 adults",Double Room - Non-Smoking,1 double bed,8.2,Very good,"2,540 reviews","https://www.booking.com/hotel/gb/holiday-inn-london-kings-cross-bloomsbury.en-gb.html?label=gen173bo-1DCAQoggI49wNICVgDaFCIAQGYAQm4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AommqoQGwAIB0gIkMzE1YjIwMzAtYjgzNS00MTFlLWEwZjAtMmVkMjk0ZmU1MTdk2AIE4AIB&sid=7399145a721c6bd561ad7258dd35df32&all_sr_blocks=24834611_244931369_2_34_0&checkin=2021-04-30&checkout=2021-05-01&dest_id=-2601889&dest_type=city&group_adults=2&group_children=0&hapos=20&highlighted_blocks=24834611_244931369_2_34_0&hpos=20&no_rooms=1&sr_order=popularity&sr_pri_blocks=24834611_244931369_2_34_0__8900&srepoch=1619694346&srpvid=b9244e04cd9501a6&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
20,Lancaster Gate Hotel,"Westminster Borough, London Show on map",£71,"1 night, 2 adults",Double Room,1 double bed,8.1,Very good,"4,233 reviews","https://www.booking.com/hotel/gb/lancaster-gate.en-gb.html?label=gen173bo-1DCAQoggI49wNICVgDaFCIAQGYAQm4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AommqoQGwAIB0gIkMzE1YjIwMzAtYjgzNS00MTFlLWEwZjAtMmVkMjk0ZmU1MTdk2AIE4AIB&sid=7399145a721c6bd561ad7258dd35df32&all_sr_blocks=25896410_201803727_0_2_0&checkin=2021-04-30&checkout=2021-05-01&dest_id=-2601889&dest_type=city&group_adults=2&group_children=0&hapos=21&highlighted_blocks=25896410_201803727_0_2_0&hpos=21&no_rooms=1&sr_order=popularity&sr_pri_blocks=25896410_201803727_0_2_0__7140&srepoch=1619694346&srpvid=b9244e04cd9501a6&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
21,"Radisson Blu Edwardian Berkshire Hotel, London","Westminster Borough, London Show on map",£119,"1 night, 2 adults",Standard Double/Twin Room,Beds: 1 double or 2 singles,8.5,Very good,"1,921 reviews","https://www.booking.com/hotel/gb/radissonberkshire.en-gb.html?label=gen173bo-1DCAQoggI49wNICVgDaFCIAQGYAQm4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AommqoQGwAIB0gIkMzE1YjIwMzAtYjgzNS00MTFlLWEwZjAtMmVkMjk0ZmU1MTdk2AIE4AIB&sid=7399145a721c6bd561ad7258dd35df32&all_sr_blocks=21761604_272500310_2_2_0&checkin=2021-04-30&checkout=2021-05-01&dest_id=-2601889&dest_type=city&group_adults=2&group_children=0&hapos=22&highlighted_blocks=21761604_272500310_2_2_0&hpos=22&no_rooms=1&sr_order=popularity&sr_pri_blocks=21761604_272500310_2_2_0__11900&srepoch=1619694346&srpvid=b9244e04cd9501a6&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
22,Citadines Trafalgar Square,"Westminster Borough, London Show on map",£116,"1 night, 2 adults",Studio,Beds: 1 double or 2 singles,8.4,Very good,"2,893 reviews","https://www.booking.com/hotel/gb/citadinetrafalgar.en-gb.html?label=gen173bo-1DCAQoggI49wNICVgDaFCIAQGYAQm4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AommqoQGwAIB0gIkMzE1YjIwMzAtYjgzNS00MTFlLWEwZjAtMmVkMjk0ZmU1MTdk2AIE4AIB&sid=7399145a721c6bd561ad7258dd35df32&all_sr_blocks=16556_93944872_2_0_0&checkin=2021-04-30&checkout=2021-05-01&dest_id=-2601889&dest_type=city&group_adults=2&group_children=0&hapos=23&highlighted_blocks=16556_93944872_2_0_0&hpos=23&no_rooms=1&sr_order=popularity&sr_pri_blocks=16556_93944872_2_0_0__11599&srepoch=1619694346&srpvid=b9244e04cd9501a6&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
23,Mercure London Hyde Park Hotel,"Westminster Borough, London Show on map",£89,"1 night, 2 adults",Standard King Room,1 large double bed,8.1,Very good,"1,446 reviews","https://www.booking.com/hotel/gb/qualityhotelpaddington.en-gb.html?label=gen173bo-1DCAQoggI49wNICVgDaFCIAQGYAQm4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AommqoQGwAIB0gIkMzE1YjIwMzAtYjgzNS00MTFlLWEwZjAtMmVkMjk0ZmU1MTdk2AIE4AIB&sid=7399145a721c6bd561ad7258dd35df32&all_sr_blocks=10438014_309333905_2_42_0&checkin=2021-04-30&checkout=2021-05-01&dest_id=-2601889&dest_type=city&group_adults=2&group_children=0&hapos=24&highlighted_blocks=10438014_309333905_2_42_0&hpos=24&no_rooms=1&sr_order=popularity&sr_pri_blocks=10438014_309333905_2_42_0__8948&srepoch=1619694346&srpvid=b9244e04cd9501a6&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
24,Hyde Park Executive Apartments,"Westminster Borough, London Show on map",£75,"1 night, 2 adults",Superior Double Studio,1 double bed,7.3,Good,184 reviews,"https://www.booking.com/hotel/gb/hyde-park-executive-apartments.en-gb.html?label=gen173bo-1DCAQoggI49wNICVgDaFCIAQGYAQm4AQfIAQzYAQPoAQH4AQOIAgGYAgKoAgO4AommqoQGwAIB0gIkMzE1YjIwMzAtYjgzNS00MTFlLWEwZjAtMmVkMjk0ZmU1MTdk2AIE4AIB&sid=7399145a721c6bd561ad7258dd35df32&all_sr_blocks=3610508_198505918_0_0_0&checkin=2021-04-30&checkout=2021-05-01&dest_id=-2601889&dest_type=city&group_adults=2&group_children=0&hapos=25&highlighted_blocks=3610508_198505918_0_0_0&hpos=25&no_rooms=1&sr_order=popularity&sr_pri_blocks=3610508_198505918_0_0_0__7500&srepoch=1619694346&srpvid=b9244e04cd9501a6&ucfs=1&from=searchresults
;highlight_room=#hotelTmpl"
